,Venue,Venue Category,Day
0,Rashtrapati Bhavan | राष्ट्रपति भवन (Rashtrapati Bhavan),Monument / Landmark,1
1,Jantar Mantar,Historic Site,1
2,Ajmeri Gate,Monument / Landmark,1
3,Purana Quila,History Museum,1
4,Kota House Naval Officers Mess,Monument / Landmark,1
5,Bada Gumbad,Monument / Landmark,1
6,ARCHAELOGICAL SURVEY OF INDIA (A.S.I),Monument / Landmark,1
7,Lenin Statue,Monument / Landmark,1
8,Mori gate,Monument / Landmark,1
9,Prasar Bharati,Concert Hall,1
10,Akashwani Bhawan,Music Venue,1
11,Parliament Secretariat,City Hall,1
12,Red Fort | Lal Qila | लाल क़िला | لال قلعہ (Red Fort (Lal Qila)),Monument / Landmark,1
13,Humayun’s Tomb | हुमायूँ का मकबरा (Humayun’s Tomb),Monument / Landmark,1
14,Chandni Chowk | चाँदनी चौक (Chandni Chowk),Market,1
15,India Gate | इंडिया गेट (India Gate),Monument / Landmark,1
16,Lok Sabha,Monument / Landmark,1
17,supreme court museum,Monument / Landmark,1
18,Bata Chowk Metro Station,Monument / Landmark,2
19,Khatri Marg,Monument / Landmark,3
20,Lado Sarai Tomb,Monument / Landmark,3
21,Lotus Temple (Bahá'í House of Worship),Spiritual Center,3
22,"The City Palace, Jaipur",Monument / Landmark,3
23,Qutab Minar,Monument / Landmark,3
24,Qutub Minar | क़ुतुब मीनार (Qutub Minar),Monument / Landmark,3
25,AIIMS Cloverleaf,Monument / Landmark,3
26,Pari Chowk,Monument / Landmark,4
27,"Income Tax HQ, Noida",Monument / Landmark,5
